participant_id,session_id,trial_id,movement_label,timestamp,shoulder_width,head_offset_x,head_offset_y,torso_dx,torso_dy,movement_speed,head_offset_z,torso_dz,movement_speed_3d
P01,S02,1,neutral,0.4458195000188425,0.3087200473056224,0.025223754294434762,-0.8561889660979222,0.0,0.0,0.0,-0.5639211619431459,0.0,0.0
P01,S02,1,neutral,0.5912505999440327,0.3121144741212747,0.015846490078938687,-0.8651222524259287,-0.005022284391648329,0.017771138120010212,0.1269823218613406,-0.5735325662994828,0.004486376150363212,0.3708091335921621
P01,S02,1,neutral,0.6480298999231309,0.3133689893349396,0.015516382830350185,-0.8733125272725867,0.00010860759464099705,0.009271588792951665,0.16330290951840976,-0.6073884475345521,-0.10358348973074237,1.8377598533293213
P01,S02,1,neutral,0.6960540999425575,0.31452783725384487,0.016051228279310124,-0.8851057826642426,-0.00021451982907092396,0.004040344536843317,0.08424992883583679,-0.6000287086836796,-0.0430578288458926,1.1554472845851749
P01,S02,1,neutral,0.7589932999107987,0.31484269428972084,0.016042512300750305,-0.884230859607921,-0.0002454950504310027,-0.0001744543581817382,0.004785061848702129,-0.5966882437261831,-0.02450001440281249,0.5406696751165466
P01,S02,1,neutral,0.8004514999920502,0.31551473723140605,0.01566692999841864,-0.8844373953713601,3.5279389829706546e-05,0.0017161746554643592,0.041404046313582195,-0.5910775458381649,0.013627083837345469,0.47357828360607596
P01,S02,1,neutral,0.8524466999806464,0.31575352006926116,0.01680147954718334,-0.8860593684071237,-0.0003190205121017002,0.0003474303269367924,0.009071604508210339,-0.5941900924493607,-0.019135548180812756,0.4637186140101485
P01,S02,1,neutral,0.9160868999315426,0.31696047103737063,0.015995218137808184,-0.8873711046066839,0.0015100002685469356,0.0048234069414483174,0.07941900442155464,-0.596626026953356,-0.01679650902382495,0.27971225260453747
P01,S02,1,neutral,0.9902343999128789,0.3198824800031513,0.01571117473192243,-0.8788834061148009,0.001141894874458861,-0.0003680075677487457,0.01618032414205671,-0.6020131161998401,-0.032719625724464886,0.4508159335580359
P01,S02,1,neutral,1.0511051999637857,0.32196378615903143,0.015091853356248396,-0.8778105295017818,0.0013170498121918297,0.003992849611603948,0.0690718395984286,-0.6207028217760285,0.024392522497430638,0.41171579121172924
P01,S02,1,neutral,1.0971653999295086,0.3237019243381515,0.01767280100910109,-0.8766495738340718,0.002589711590365996,-0.0021435080166699655,0.07298558449885684,-0.5889137647741762,-0.04478189047270699,0.9724750349901623
P01,S02,1,neutral,1.1757258999859914,0.32593274535854444,0.024433894734945064,-0.8765147345901716,0.003536921496401022,-6.967501726297012e-05,0.04503036135462272,-0.5868703967109871,0.002710704466601206,0.04570635145293201
P01,S02,1,neutral,1.2361876999493688,0.3269818862918588,0.026630807185069324,-0.872934681696543,0.0017002847786076229,-0.0033569117491770227,0.06223688791749006,-0.5825365020833051,-0.007873425215015368,0.13358847998597084
P01,S02,1,neutral,1.2844642999116331,0.3273032431494075,0.03315960376666189,-0.8713478072277937,0.0025751482707516544,-0.001962763507038971,0.0670692257081458,-0.5882164279860244,0.010099805087681935,0.21555034372743642
P01,S02,1,neutral,1.3326408999273553,0.32729639507671926,0.03233168736297647,-0.8854036060416455,0.0016697861515323194,-0.0009856819222563724,0.040247935198406616,-0.5892851428556326,0.018565411061836356,0.3891686878264821
P01,S02,1,neutral,1.3785152999917045,0.3279936301661093,0.031446785581106085,-0.8811401277331392,0.0018611820916131735,-0.002432661807735958,0.0667688145232225,-0.5903895048316943,-0.004940585067987973,0.20164889006773648
P01,S02,1,neutral,1.4608305000001565,0.32627907988530275,0.02790290034985725,-0.9024545536019871,0.005478754267932649,-0.00333756261795637,0.07793578682763994,-0.5891588704066552,-0.0004374755536895388,0.03226795578499468
P01,S02,1,neutral,1.5328145999228582,0.32715058482020193,0.028157018061618713,-0.8986702761440613,0.0016401496385041036,-0.001688658604734959,0.03270267735028937,-0.5883834773908079,-0.015182270538675487,0.2242543970670639
P01,S02,1,neutral,1.6009107999270782,0.3273994388246535,0.02671335837013789,-0.8946607886243938,0.0015193839852628305,-0.0007959436579779043,0.02518850793760587,-0.5884291953753452,0.0015521428931724287,0.10407285777740692
P01,S02,1,neutral,1.6678536999970675,0.32732155974873256,0.02662324774947546,-0.8918282446133772,0.00022375308037754401,-0.002582333617769238,0.03871970477682247,-0.5834653815921029,-0.019238144920198028,0.29051579339534933
P01,S02,1,neutral,1.71117519994732,0.3274830787877902,0.02622594274723119,-0.8916793232810706,0.00036979540277521977,-0.0002890292110776665,0.010834041147420594,-0.5901708250791057,0.012536426292497176,0.3202682696316101
P01,S02,1,neutral,1.7663516999455169,0.32774085015255516,0.0246266351974308,-0.8892716588860687,0.00014731078608477821,-0.0016371502423891031,0.02979102324935755,-0.5880529128092384,-0.00011432398479018718,0.11661241920943453
P01,S02,1,neutral,1.8605900999391451,0.3277871711440366,0.024072499734879526,-0.8862352877847168,0.0001149680035607041,-0.00016056425012906557,0.002095540990588032,-0.5864196078594681,-0.0053749453638270855,0.06847983464760785
P01,S02,1,neutral,1.9070699999574572,0.3277227792216956,0.025684460678419077,-0.8864116003672642,-5.619943563073635e-05,-0.0012320225791670164,0.026534129758764905,-0.5879728904196431,0.0024930256727520614,0.06336651058704088
P01,S02,1,neutral,1.970382499974221,0.3271329912051371,0.025173954517917003,-0.8859826111195074,0.0007491280414464361,-0.0035245367466228525,0.05691245234914801,-0.5864833002685629,-0.003313108112342719,0.0782482744641105
P01,S02,1,neutral,2.0656950999982655,0.3273298575721335,0.024153612384243406,-0.8848760679708789,-0.00012514376911938182,7.201798572093925e-05,0.0015148765008960216,-0.5882693390937864,0.0011066888207642252,0.024139375255321817
P01,S02,1,neutral,2.135684599983506,0.32726467866232223,0.02502481425816738,-0.8833172428843785,-0.0009938822236142343,-0.0004911129587641163,0.01583951783897171,-0.5879634814706183,-0.005916030254378454,0.08764513946567676
P01,S02,1,neutral,2.2035579999210313,0.32726763146548576,0.024285558012125938,-0.8829150567134574,-1.4114930796570205e-06,-0.0003075233632259199,0.004530885483542576,-0.5851570709035782,-0.009835259427507351,0.1459596102690079
P01,S02,1,neutral,2.2687756000086665,0.32721073359521174,0.024177798225462014,-0.8815613943820143,-0.00011699213741060119,-0.0012314003096857362,0.01896643516937062,-0.5734835927942249,-0.019959526229122053,0.35057509189543495
P01,S02,1,neutral,2.336680999957025,0.3270473123528864,0.025486958724622963,-0.8863583317833885,-0.00011791628829551939,0.0007269985687957138,0.010845960224283384,-0.5710772588832822,-0.0033939029220531065,0.09084033607434973
P01,S02,1,neutral,2.4094520999351516,0.32733241856601586,0.02589704623443538,-0.8879151813589267,-0.0004747140830418686,0.0012818372794680608,0.018783780060494505,-0.5798541137893215,0.013266791660774192,0.2035833555699312
P01,S02,1,neutral,2.4772326999809593,0.32727231531896417,0.025739573883877057,-0.8825672185733517,8.691941049560211e-05,-0.0007981651471911498,0.011845335061389161,-0.5826952594177667,0.016965624078638792,0.3067289714876595
P01,S02,1,neutral,2.548101899912581,0.32626632423464447,0.02949505876025358,-0.8877574922901058,0.002254724043443762,0.003551619683081363,0.05936109473391842,-0.5814298631714715,0.009698423137865553,0.16321214395805733
P01,S02,1,neutral,2.6014360999688506,0.32647450974425535,0.030037244208462804,-0.8857470731879359,-0.00034884676017675416,-0.0016286209729984224,0.031228800036944213,-0.5810932296386236,-0.0004921315545073129,0.027350503777491708
P01,S02,1,neutral,2.669830899918452,0.32656245855130944,0.029696965678654152,-0.8902131986934884,0.0001565121205959653,-0.0002069792941758888,0.003794041665734128,-0.5795798091847179,-0.0011595826516178306,0.07064832188029313
P01,S02,1,neutral,2.715002299984917,0.3266563377582292,0.02993950823628162,-0.8879701780987018,-0.0003812689082137399,-0.0006828901119836906,0.017314399065215067,-0.5802843310976776,-0.0001811220316718873,0.004595866300649152
P01,S02,1,neutral,2.7556197999510914,0.32647293850056225,0.029405189408413555,-0.8884825140245378,-0.0003972298790389109,4.8107582730898785e-05,0.00985123096760373,-0.5878737250545101,0.011879979857592152,0.29314092165418665
P01,S02,1,neutral,2.8677045999793336,0.32645374314471953,0.024783069685827483,-0.8877145971861539,-0.00011863278873675398,0.00013529341508877984,0.0016053827844220998,-0.5842650174253358,-0.011114785830504932,0.09931558908929951
P01,S02,1,neutral,2.9401010000146925,0.3266318090343994,0.024777770721397686,-0.8854061908792998,-7.098575881562436e-05,-3.7135223442106834e-05,0.0011065804140543735,-0.5848184393929248,-0.00027643153231494017,0.00833984995114553
P01,S02,1,neutral,2.998397000017576,0.326441795758546,0.025085933092064017,-0.8842151783251168,-0.0003400261583387192,-0.001618376616692301,0.028367489680124727,-0.5875810219018612,0.013318326193929867,0.23107460812981698
